,,,,,,,Current,Current,,Remaining,Remaining,,Average,Average,,90% Confidence,90% Confidence,,,,,,,,,,Change,Change,Change
,Tm,Lg,D,SRS,rSOS,,W,L,,W,L,,W,L,,Best,Worst,,Post,WC,Div,LDS,LCS,Pennant,Win WS,,1 Day,7 Days,30 Days
1,Atlanta Braves,NL,E,1.1,0.4,,86,54,,11.9,10.1,,97.9,64.1,,102-60,94-68,,>99.9%,6.3%,93.7%,97.6%,54.1%,20.7%,11.1%,,0.0%,0.0%,+1.9%
2,Washington Nationals,NL,E,1.4,0.5,,78,59,,13.8,11.2,,91.8,70.2,,96-66,88-74,,97.6%,91.3%,6.3%,56.6%,24.0%,12.9%,7.5%,,-0.7%,+1.8%,+52.6%
3,Philadelphia Phillies,NL,E,0.0,0.7,,72,65,,11.4,13.6,,83.4,78.6,,87-75,79-83,,7.8%,7.8%,<0.1%,3.4%,0.8%,0.5%,0.1%,,+0.6%,-3.2%,-20.1%
4,New York Mets,NL,E,0.7,0.5,,70,68,,12.3,11.7,,82.3,79.7,,86-76,78-84,,3.8%,3.8%,<0.1%,1.5%,0.5%,0.3%,0.1%,,-4.9%,-11.1%,-9.8%
5,Miami Marlins,NL,E,-0.5,0.1,,49,88,,11.4,13.6,,60.4,101.6,,64-98,57-105,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,St. Louis Cardinals,NL,C,0.5,0.3,,78,60,,12.4,11.6,,90.4,71.6,,94-68,86-76,,94.0%,16.9%,77.1%,84.4%,37.4%,13.6%,5.6%,,0.0%,+3.3%,+45.4%
2,Chicago Cubs,NL,C,0.4,-0.1,,75,63,,12.5,11.5,,87.5,74.5,,92-70,83-79,,68.4%,46.8%,21.6%,43.0%,17.5%,8.4%,4.3%,,-1.8%,-2.4%,-19.9%
3,Milwaukee Brewers,NL,C,-0.2,-0.1,,71,67,,12.0,12.0,,83.0,79.0,,87-75,79-83,,7.9%,6.6%,1.3%,4.0%,0.8%,0.4%,<0.1%,,+1.1%,0.0%,-8.6%
4,Cincinnati Reds,NL,C,0.0,0.1,,64,75,,11.3,11.7,,75.3,86.7,,79-83,71-91,,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,-0.5%,-14.0%
5,Pittsburgh Pirates,NL,C,-0.4,-0.1,,60,78,,11.7,12.3,,71.7,90.3,,76-86,68-94,,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,0.0%
1,Los Angeles Dodgers,NL,W,2.0,-0.2,,91,50,,13.3,7.7,,104.3,57.7,,108-54,101-61,,>99.9%,<0.1%,>99.9%,>99.9%,61.9%,41.8%,27.0%,,0.0%,0.0%,0.0%
2,Arizona Diamondbacks,NL,W,0.9,0.0,,72,67,,12.8,10.2,,84.8,77.2,,88-74,81-81,,20.5%,20.5%,<0.1%,9.5%,3.0%,1.4%,0.6%,,+5.7%,+12.6%,-16.1%
3,San Francisco Giants,NL,W,0.1,0.6,,66,72,,11.3,12.7,,77.3,84.7,,81-81,73-89,,<0.1%,<0.1%,0.0%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,-0.4%,-9.7%
4,San Diego Padres,NL,W,-0.4,0.4,,64,74,,10.7,13.3,,74.7,87.3,,79-83,71-91,,<0.1%,<0.1%,0.0%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,-0.1%,-0.3%
5,Colorado Rockies,NL,W,-0.5,0.4,,59,81,,9.9,12.1,,68.9,93.1,,73-89,65-97,,<0.1%,<0.1%,0.0%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,-1.4%
1,New York Yankees,AL,E,1.2,-0.6,,91,49,,13.1,8.9,,104.1,57.9,,108-54,100-62,,>99.9%,0.2%,99.8%,99.8%,56.7%,31.1%,13.4%,,0.0%,0.0%,+0.3%
2,Tampa Bay Rays,AL,E,0.2,-0.1,,82,59,,11.4,10.6,,93.4,69.6,,97-66,89-74,,62.5%,62.3%,0.2%,27.9%,12.7%,4.7%,1.7%,,-2.0%,+31.7%,-12.7%
3,Boston Red Sox,AL,E,0.7,-0.1,,74,64,,13.0,11.0,,87.0,75.0,,91-71,83-79,,2.7%,2.7%,<0.1%,1.0%,<0.1%,<0.1%,<0.1%,,+0.3%,-0.4%,-1.0%
4,Toronto Blue Jays,AL,E,-0.6,0.1,,55,85,,10.2,11.8,,65.2,96.8,,69-93,61-101,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Baltimore Orioles,AL,E,-1.6,-0.5,,46,93,,10.7,13.3,,56.7,106.3,,61-102,53-110,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,Minnesota Twins,AL,C,0.6,-0.6,,86,52,,13.6,10.4,,99.6,62.4,,103-59,96-66,,99.4%,2.8%,96.6%,98.0%,42.2%,17.6%,7.2%,,+0.9%,+1.2%,+2.0%
2,Cleveland Indians,AL,C,0.5,-0.3,,80,59,,12.9,10.1,,92.9,69.1,,96-66,89-73,,52.5%,49.1%,3.4%,27.5%,10.1%,5.0%,2.4%,,-6.5%,-24.8%,-15.1%
3,Chicago White Sox,AL,C,-1.2,-1.0,,61,77,,11.6,12.4,,72.6,89.4,,77-85,68-94,,<0.1%,<0.1%,0.0%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,0.0%
4,Kansas City Royals,AL,C,-1.7,0.1,,50,89,,9.0,14.0,,59.0,103.0,,63-99,55-107,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
5,Detroit Tigers,AL,C,-2.4,-0.3,,40,96,,9.5,16.5,,49.5,112.5,,53-109,46-116,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%
1,Houston Astros,AL,W,1.1,-0.7,,90,50,,13.3,8.7,,103.3,58.7,,107-55,100-62,,>99.9%,0.3%,99.7%,99.9%,54.9%,29.2%,13.9%,,0.0%,0.0%,+0.4%
2,Oakland Athletics,AL,W,0.9,-0.9,,79,58,,15.7,9.3,,94.7,67.3,,98-64,91-71,,82.9%,82.6%,0.3%,45.9%,23.4%,12.4%,5.1%,,+7.3%,-7.7%,+27.3%
3,Texas Rangers,AL,W,-0.9,0.4,,68,72,,9.2,12.8,,77.2,84.8,,81-81,74-88,,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,-1.0%
4,Los Angeles Angels,AL,W,-0.6,0.6,,65,74,,9.9,13.1,,74.9,87.1,,79-83,71-91,,<0.1%,<0.1%,0.0%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,-0.2%
5,Seattle Mariners,AL,W,-1.4,0.0,,58,82,,9.2,12.8,,67.2,94.8,,71-91,63-99,,<0.1%,<0.1%,0.0%,<0.1%,<0.1%,<0.1%,<0.1%,,0.0%,0.0%,0.0%